Nome da UF,Sigla,Região
Acre,AC,Norte
Alagoas,AL,Nordeste
Amapa,AP,Norte
Amazonas,AM,Norte
Bahia,BA,Nordeste
Ceara,CE,Nordeste
Distrito Federal,DF,Centro-Oeste
Espirito Santo,ES,Sudeste
Goiás,GO,Centro-Oeste
Maranhao,MA,Nordeste
Mato Grosso,MT,Centro-Oeste
Mato Grosso do Sul,MS,Centro-Oeste
Minas Gerais,MG,Sudeste
Para,PA,Norte
Paraiba,PB,Nordeste
Parana,PR,Sul
Pernambuco,PE,Nordeste
Piaui,PI,Nordeste
Rio de Janeiro,RJ,Sudeste
Rio Grande do Norte,RN,Nordeste
Rio Grande do Sul,RS,Sul
Rondonia,RO,Norte
Roraima,RR,Norte
Santa Catarina,SC,Sul
Sao Paulo,SP,Sudeste
Sergipe,Sudeste,Nordeste
Tocantins,TO,Norte